model,series,x,bf
Meta-Llama-3-8B,self_conditioned_baseline,255,5.257949991393532
Meta-Llama-3-8B,self_conditioned_baseline,256,5.246478802634987
Meta-Llama-3-8B,self_conditioned_baseline,257,5.236381451721105
Meta-Llama-3-8B,self_conditioned_baseline,258,5.225549941809216
Meta-Llama-3-8B,self_conditioned_baseline,259,5.214721292180594
Meta-Llama-3-8B,self_conditioned_baseline,260,5.2038975771959075
Meta-Llama-3-8B,self_conditioned_baseline,261,5.193269842712287
Meta-Llama-3-8B,self_conditioned_baseline,262,5.18264779353066
Meta-Llama-3-8B,self_conditioned_baseline,263,5.17240595252445
Meta-Llama-3-8B,self_conditioned_baseline,264,5.161699960080781
Meta-Llama-3-8B,self_conditioned_baseline,265,5.151184521326242
Meta-Llama-3-8B,self_conditioned_baseline,266,5.140128272214858
Meta-Llama-3-8B,self_conditioned_baseline,267,5.129834232855622
Meta-Llama-3-8B,self_conditioned_baseline,268,5.119135153208815
Meta-Llama-3-8B,self_conditioned_baseline,269,5.108842821380475
Meta-Llama-3-8B,self_conditioned_baseline,270,5.098412361050241
Meta-Llama-3-8B,self_conditioned_baseline,271,5.087911734447917
Meta-Llama-3-8B,self_conditioned_baseline,272,5.07726669285437
Meta-Llama-3-8B,self_conditioned_baseline,273,5.066947852838214
Meta-Llama-3-8B,self_conditioned_baseline,274,5.05631199368224
Meta-Llama-3-8B,self_conditioned_baseline,275,5.046520982111684
Meta-Llama-3-8B,self_conditioned_baseline,276,5.036624827142277
Meta-Llama-3-8B,self_conditioned_baseline,277,5.026729711855856
Meta-Llama-3-8B,self_conditioned_baseline,278,5.016858795149236
Meta-Llama-3-8B,self_conditioned_baseline,279,5.006665990282578
Meta-Llama-3-8B,self_conditioned_baseline,280,4.9969976250250285
Meta-Llama-3-8B,self_conditioned_baseline,281,4.987416722449148
Meta-Llama-3-8B,self_conditioned_baseline,282,4.977989436465995
Meta-Llama-3-8B,self_conditioned_baseline,283,4.968228559973752
Meta-Llama-3-8B,self_conditioned_baseline,284,4.958397847901702
Meta-Llama-3-8B,self_conditioned_baseline,285,4.948590749803568
Meta-Llama-3-8B,self_conditioned_baseline,286,4.939209046373294
Meta-Llama-3-8B,self_conditioned_baseline,287,4.929690971385527
Meta-Llama-3-8B,self_conditioned_baseline,288,4.920740614894746
Meta-Llama-3-8B,self_conditioned_baseline,289,4.911506906886495
Meta-Llama-3-8B,self_conditioned_baseline,290,4.902075962214881
Meta-Llama-3-8B,self_conditioned_baseline,291,4.8931222123943705
Meta-Llama-3-8B,self_conditioned_baseline,292,4.884084299883633
Meta-Llama-3-8B,self_conditioned_baseline,293,4.874916025147955
Meta-Llama-3-8B,self_conditioned_baseline,294,4.8659440641836404
Meta-Llama-3-8B,self_conditioned_baseline,295,4.857565179134585
Meta-Llama-3-8B,self_conditioned_baseline,296,4.848332387392596
Meta-Llama-3-8B,self_conditioned_baseline,297,4.839454304068396
Meta-Llama-3-8B,self_conditioned_baseline,298,4.830408468347803
Meta-Llama-3-8B,self_conditioned_baseline,299,4.821655068418881
Meta-Llama-3-8B,self_conditioned_baseline,300,4.812370853242871
Meta-Llama-3-8B,self_conditioned_baseline,301,4.804009921828522
Meta-Llama-3-8B,self_conditioned_baseline,302,4.795385795991699
Meta-Llama-3-8B,self_conditioned_baseline,303,4.78726581564795
Meta-Llama-3-8B,self_conditioned_baseline,304,4.77821890687766
Meta-Llama-3-8B,self_conditioned_baseline,305,4.769721935577267
Meta-Llama-3-8B,self_conditioned_baseline,306,4.761355392231918
Meta-Llama-3-8B,self_conditioned_baseline,307,4.752270535080786
Meta-Llama-3-8B,self_conditioned_baseline,308,4.743631210330867
Meta-Llama-3-8B,self_conditioned_baseline,309,4.7349668263790905
Meta-Llama-3-8B,self_conditioned_baseline,310,4.726386783103279
Meta-Llama-3-8B,self_conditioned_baseline,311,4.717559743327942
Meta-Llama-3-8B,self_conditioned_baseline,312,4.708867170861606
Meta-Llama-3-8B,self_conditioned_baseline,313,4.700762918840609
Meta-Llama-3-8B,self_conditioned_baseline,314,4.6922776790433005
Meta-Llama-3-8B,self_conditioned_baseline,315,4.684059195170904
Meta-Llama-3-8B,self_conditioned_baseline,316,4.675858170387
Meta-Llama-3-8B,self_conditioned_baseline,317,4.66762481001755
Meta-Llama-3-8B,self_conditioned_baseline,318,4.65938184018946
Meta-Llama-3-8B,self_conditioned_baseline,319,4.651203931185438
Meta-Llama-3-8B,self_conditioned_baseline,320,4.642998717477292
Meta-Llama-3-8B,self_conditioned_baseline,321,4.63488263352104
Meta-Llama-3-8B,self_conditioned_baseline,322,4.626572835215
Meta-Llama-3-8B,self_conditioned_baseline,323,4.618813153245141
Meta-Llama-3-8B,self_conditioned_baseline,324,4.61075090395091
Meta-Llama-3-8B,self_conditioned_baseline,325,4.602568248983909
Meta-Llama-3-8B,self_conditioned_baseline,326,4.594123343488244
Meta-Llama-3-8B,self_conditioned_baseline,327,4.586108908968278
Meta-Llama-3-8B,self_conditioned_baseline,328,4.5778672591457585
Meta-Llama-3-8B,self_conditioned_baseline,329,4.570346339808093
Meta-Llama-3-8B,self_conditioned_baseline,330,4.56264178375899
Meta-Llama-3-8B,self_conditioned_baseline,331,4.555214907772876
Meta-Llama-3-8B,self_conditioned_baseline,332,4.547818848199446
Meta-Llama-3-8B,self_conditioned_baseline,333,4.539865892483045
Meta-Llama-3-8B,self_conditioned_baseline,334,4.532123644045841
Meta-Llama-3-8B,self_conditioned_baseline,335,4.524596430139765
Meta-Llama-3-8B,self_conditioned_baseline,336,4.516784585334952
Meta-Llama-3-8B,self_conditioned_baseline,337,4.509413037541093
Meta-Llama-3-8B,self_conditioned_baseline,338,4.501673484015802
Meta-Llama-3-8B,self_conditioned_baseline,339,4.494254820833018
Meta-Llama-3-8B,self_conditioned_baseline,340,4.4868287764844235
Meta-Llama-3-8B,self_conditioned_baseline,341,4.478945732732481
Meta-Llama-3-8B,self_conditioned_baseline,342,4.471365359153275
Meta-Llama-3-8B,self_conditioned_baseline,343,4.463762749058498
Meta-Llama-3-8B,self_conditioned_baseline,344,4.456387766436485
Meta-Llama-3-8B,self_conditioned_baseline,345,4.448907759462043
Meta-Llama-3-8B,self_conditioned_baseline,346,4.441637317311468
Meta-Llama-3-8B,self_conditioned_baseline,347,4.433987149148699
Meta-Llama-3-8B,self_conditioned_baseline,348,4.426881690688854
Meta-Llama-3-8B,self_conditioned_baseline,349,4.41945423430497
Meta-Llama-3-8B,self_conditioned_baseline,350,4.411746282449798
Meta-Llama-3-8B,self_conditioned_baseline,351,4.4044562711933235
Meta-Llama-3-8B,self_conditioned_baseline,352,4.39765284248714
Meta-Llama-3-8B,self_conditioned_baseline,353,4.390813412453984
Meta-Llama-3-8B,self_conditioned_baseline,354,4.383666111819158
Meta-Llama-3-8B,self_conditioned_baseline,355,4.376937384010086
Meta-Llama-3-8B,self_conditioned_baseline,356,4.369931141082957
Meta-Llama-3-8B,self_conditioned_baseline,357,4.3630581800911115
Meta-Llama-3-8B,self_conditioned_baseline,358,4.355816577380653
Meta-Llama-3-8B,self_conditioned_baseline,359,4.349172171488844
Meta-Llama-3-8B,self_conditioned_baseline,360,4.342264868052061
Meta-Llama-3-8B,self_conditioned_baseline,361,4.336043735858245
Meta-Llama-3-8B,self_conditioned_baseline,362,4.329429875546096
Meta-Llama-3-8B,self_conditioned_baseline,363,4.3230798815679705
Meta-Llama-3-8B,self_conditioned_baseline,364,4.316466367425588
Meta-Llama-3-8B,self_conditioned_baseline,365,4.309979988002045
Meta-Llama-3-8B,self_conditioned_baseline,366,4.3032966752874975
Meta-Llama-3-8B,self_conditioned_baseline,367,4.296816971055748
Meta-Llama-3-8B,self_conditioned_baseline,368,4.290169224925297
Meta-Llama-3-8B,self_conditioned_baseline,369,4.283949535940962
Meta-Llama-3-8B,self_conditioned_baseline,370,4.277069159755383
Meta-Llama-3-8B,self_conditioned_baseline,371,4.2701665299454525
Meta-Llama-3-8B,self_conditioned_baseline,372,4.264143113156648
Meta-Llama-3-8B,self_conditioned_baseline,373,4.257796612332109
Meta-Llama-3-8B,self_conditioned_baseline,374,4.251640651069395
Meta-Llama-3-8B,self_conditioned_baseline,375,4.24520922443225
Meta-Llama-3-8B,self_conditioned_baseline,376,4.239035083767106
Meta-Llama-3-8B,self_conditioned_baseline,377,4.232884589237312
Meta-Llama-3-8B,self_conditioned_baseline,378,4.226668943322599
Meta-Llama-3-8B,self_conditioned_baseline,379,4.220210568530664
Meta-Llama-3-8B,self_conditioned_baseline,380,4.214177496441789
Meta-Llama-3-8B,self_conditioned_baseline,381,4.208090393590705
Meta-Llama-3-8B,self_conditioned_baseline,382,4.201675823983954
Meta-Llama-3-8B,self_conditioned_baseline,383,4.195571815292897
Meta-Llama-3-8B,self_conditioned_baseline,384,4.18946297021141
Meta-Llama-3-8B,self_conditioned_baseline,385,4.183244862086179
Meta-Llama-3-8B,self_conditioned_baseline,386,4.177448125300273
Meta-Llama-3-8B,self_conditioned_baseline,387,4.171364910068611
Meta-Llama-3-8B,self_conditioned_baseline,388,4.165186679935024
Meta-Llama-3-8B,self_conditioned_baseline,389,4.1588086257720525
Meta-Llama-3-8B,self_conditioned_baseline,390,4.15258330519543
Meta-Llama-3-8B,self_conditioned_baseline,391,4.1466685665561975
Meta-Llama-3-8B,self_conditioned_baseline,392,4.140246903891421
Meta-Llama-3-8B,self_conditioned_baseline,393,4.134059658634308
Meta-Llama-3-8B,self_conditioned_baseline,394,4.127845512139984
Meta-Llama-3-8B,self_conditioned_baseline,395,4.121723397535274
Meta-Llama-3-8B,self_conditioned_baseline,396,4.115703960882232
Meta-Llama-3-8B,self_conditioned_baseline,397,4.110023942668441
Meta-Llama-3-8B,self_conditioned_baseline,398,4.103991014469954
Meta-Llama-3-8B,self_conditioned_baseline,399,4.097870437457096
Meta-Llama-3-8B,self_conditioned_baseline,400,4.09206911694474
Meta-Llama-3-8B,self_conditioned_baseline,401,4.086302440025158
Meta-Llama-3-8B,self_conditioned_baseline,402,4.080218538516685
Meta-Llama-3-8B,self_conditioned_baseline,403,4.07439496353525
Meta-Llama-3-8B,self_conditioned_baseline,404,4.068692892319767
Meta-Llama-3-8B,self_conditioned_baseline,405,4.062833107130859
Meta-Llama-3-8B,self_conditioned_baseline,406,4.0569144614866355
Meta-Llama-3-8B,self_conditioned_baseline,407,4.050933916355957
Meta-Llama-3-8B,self_conditioned_baseline,408,4.044946167282293
